filename,width,height,class,xmin,ymin,xmax,ymax
apple_1.jpg,800,600,apple,107,80,705,485
apple_2.jpg,800,600,apple,151,274,672,540
apple_3.jpg,800,600,apple,52,18,787,550
apple_4.jpg,800,600,apple,47,8,578,559
apple_5.jpg,800,600,apple,136,66,673,587
banana_1.jpg,800,600,banana,71,3,663,494
banana_2.jpg,800,600,banana,114,206,597,507
banana_3.jpg,800,600,banana,107,244,600,497
banana_4.jpg,800,600,banana,113,272,584,487
banana_5.jpg,800,600,banana,109,291,590,495
pineapple_1.jpg,800,600,pineapple,113,1,800,586
pineapple_2.jpg,800,600,pineapple,97,8,774,579
pineapple_3.jpg,800,600,pineapple,110,5,783,579
pineapple_4.jpg,800,600,pineapple,84,13,780,581
pineapple_5.jpg,800,600,pineapple,138,8,673,564
